03000001,Toán,8.40,Ngữ văn,7.00,Ngoại ngữ,7.20,Vật lý,8.00,Hóa học,8.75,Sinh học,4.25
03000002,Toán,7.20,Ngữ văn,5.25,Ngoại ngữ,7.20,Vật lý,5.25,Hóa học,6.50,Sinh học,3.25
03000003,Toán,8.40,Ngữ văn,7.25,Ngoại ngữ,8.40,Vật lý,6.50,Hóa học,8.00,Sinh học,6.50
03000004,Toán,8.60,Ngữ văn,5.75,Ngoại ngữ,8.40,Vật lý,6.00,Hóa học,7.50,Sinh học,5.25
03000005,Toán,8.60,Ngữ văn,6.50,Ngoại ngữ,5.20,Vật lý,7.75,Hóa học,8.75,Sinh học,6.25
03000006,Toán,8.60,Ngữ văn,7.00,Ngoại ngữ,9.40,Vật lý,7.75,Hóa học,3.50,Sinh học,4.50
03000007,Toán,8.40,Ngữ văn,7.50,Ngoại ngữ,9.00,Vật lý,6.00,Hóa học,8.00,Sinh học,5.00
03000008,Toán,8.40,Ngữ văn,6.75,Ngoại ngữ,6.00,Vật lý,7.25,Hóa học,7.25,Sinh học,4.75
03000009,Toán,7.80,Ngữ văn,7.25,Ngoại ngữ,3.20,Vật lý,3.25,Hóa học,5.75,Sinh học,6.00
03000010,Toán,7.80,Ngữ văn,7.75,Ngoại ngữ,9.00,Vật lý,6.00,Hóa học,6.75,Sinh học,4.50
03000011,Toán,8.40,Ngữ văn,8.50,Vật lý,5.75,Hóa học,9.00,Sinh học,8.00
03000012,Toán,7.80,Ngữ văn,6.75,Ngoại ngữ,4.40,Vật lý,7.25,Hóa học,7.75,Sinh học,3.75
03000013,Toán,8.40,Ngữ văn,6.50,Ngoại ngữ,9.40,Vật lý,9.00,Hóa học,4.25,Sinh học,5.75
03000014,Toán,8.40,Ngữ văn,7.50,Ngoại ngữ,5.80,Vật lý,7.25,Hóa học,7.75,Sinh học,5.50
03000015,Toán,9.20,Ngữ văn,7.50,Ngoại ngữ,8.80,Vật lý,8.75,Hóa học,9.00,Sinh học,7.50
